iss,CodeEx,Entité,Tunnel,Axe,Sens,Pr,Description,Local,Tatouage
IS204,CAM/IS204,AGER_NORD,LA_COURNEUVE,A86NORD,E,150683.0,Caméra Issue de secours n°204 - Tunnel de La Courneuve,L10.448N,E73.125E
IS201,CAM/IS201,AGER_NORD,LA_COURNEUVE,A86NORD,I,150808.0,Caméra Issue de secours n°201 - Tunnel de La Courneuve,L10.445K,E73.126F
IS202,CAM/IS202,AGER_NORD,LA_COURNEUVE,A86NORD,I,160118.0,Caméra Issue de secours n°202 - Tunnel de La Courneuve,L10.446L,E73.127G
IS474,CAM/IS474,AGER_NORD,TAVERNY,A115,W,70241.0,Caméra Issue de secours n°474 - Tunnel de Taverny,L10.651F,E73.128H
IS475,CAM/IS475,AGER_NORD,TAVERNY,A115,W,70048.0,Caméra Issue de secours n°475 - Tunnel de Taverny,L10.652G,E73.129J
IS472,CAM/IS472,AGER_NORD,TAVERNY,A115,Y,70048.0,Caméra Issue de secours n°472 - Tunnel de Taverny,L10.648C,E73.131L
IS473,CAM/IS473,AGER_NORD,TAVERNY,A115,Y,70241.0,Caméra Issue de secours n°473 - Tunnel de Taverny,L10.649D,E73.132M
IS361,CAM/IS361,AGER_NORD,LANDY,A1,W,10720.0,Caméra Issue de secours n°361 - Tunnel du Landy,L10.573M,E73.391V
IS362,CAM/IS362,AGER_NORD,LANDY,A1,W,10645.0,Caméra Issue de secours n°326 - Tunnel du Landy,L10.574N,E73.392W
IS363,CAM/IS363,AGER_NORD,LANDY,A1,W,10430.0,Caméra Issue de secours n°363 - Tunnel du Landy,L10.575P,E73.393X
IS364,CAM/IS364,AGER_NORD,LANDY,A1,W,10270.0,Caméra Issue de secours n°364 - Tunnel du Landy,L10.576R,E73.394Y
IS365,CAM/IS365,AGER_NORD,LANDY,A1,W,10170.0,Caméra Issue de secours n°365 - Tunnel du Landy,L10.577S,E73.395A
IS366,CAM/IS366,AGER_NORD,LANDY,A1,W,10040.0,Caméra Issue de secours n°366 - Tunnel du Landy,L10.578T,E73.396C
IS367,CAM/IS367,AGER_NORD,LANDY,A1,W,980.0,Caméra Issue de secours n°367 - Tunnel du Landy,L10.579U,E73.397D
IS368,CAM/IS368,AGER_NORD,LANDY,A1,W,880.0,Caméra Issue de secours n°368 - Tunnel du Landy,L10.581W,E73.398E
IS369,CAM/IS369,AGER_NORD,LANDY,A1,W,770.0,Caméra Issue de secours n°369 - Tunnel du Landy,L10.582X,E73.399F
IS370,CAM/IS370,AGER_NORD,LANDY,A1,W,625.0,Caméra Issue de secours n°370 - Tunnel du Landy,L10.583Y,E73.401H
IS351,CAM/IS351,AGER_NORD,LANDY,A1,Y,615.0,Caméra Issue de secours n°351 - Tunnel du Landy,L10.562Y,E73.402J
IS352,CAM/IS352,AGER_NORD,LANDY,A1,Y,775.0,Caméra Issue de secours n°352 - Tunnel du Landy,L10.563A,E73.403K
IS353,CAM/IS353,AGER_NORD,LANDY,A1,Y,875.0,Caméra Issue de secours n°353 - Tunnel du Landy,L10.564C,E73.404L
IS354,CAM/IS354,AGER_NORD,LANDY,A1,Y,10029.0,Caméra Issue de secours n°354 - Tunnel du Landy,L10.565D,E73.405M
IS355,CAM/IS355,AGER_NORD,LANDY,A1,Y,10040.0,Caméra Issue de secours n°355 - Tunnel du Landy,L10.566E,E73.406N
IS356,CAM/IS356,AGER_NORD,LANDY,A1,Y,10150.0,Caméra Issue de secours n°356 - Tunnel du Landy,L10.567F,E73.407P
IS357,CAM/IS357,AGER_NORD,LANDY,A1,Y,10275.0,Caméra Issue de secours n°357 - Tunnel du Landy,L10.568G,E73.408R
IS358,CAM/IS358,AGER_NORD,LANDY,A1,Y,10415.0,Caméra Issue de secours n°358 - Tunnel du Landy,L10.569H,E73.409S
IS359,CAM/IS359,AGER_NORD,LANDY,A1,Y,10610.0,Caméra Issue de secours n°359 - Tunnel du Landy,L10.571K,E73.411U
IS360,CAM/IS360,AGER_NORD,LANDY,A1,Y,10720.0,Caméra Issue de secours n°360 - Tunnel du Landy,L10.572L,E73.412V
IS223,CAM/IS223,AGER_NORD,BOBIGNY,A86NORD,I,200505.0,Caméra Issue de secours n°223 - Tunnel de Bobigny,L10.456X,E73.978U
IS226,CAM/IS226,AGER_NORD,BOBIGNY,A86NORD,I,210020.0,Caméra Issue de secours n°226 - Tunnel de Bobigny,L10.459C,E73.979V
IS228,CAM/IS228,AGER_NORD,BOBIGNY,A86NORD,I,210300.0,Caméra Issue de secours n°228 - Tunnel de Bobigny,L10.462F,E73.981X
IS228,CAM/IS228A,AGER_NORD,BOBIGNY,A86NORD,I,210560.0,Caméra Issue de secours n°228A - Tunnel de Bobigny,L10.465J,E73.982Y
IS237,CAM/IS237A,AGER_NORD,BOBIGNY,A86NORD,E,210335.0,Caméra Issue de secours n°237A - Tunnel de Bobigny,L10.467L,E73.983A
IS240,CAM/IS240,AGER_NORD,BOBIGNY,A86NORD,E,200772.0,Caméra Issue de secours n°240 - Tunnel de Bobigny,L10.475V,E73.984C
IS238,CAM/IS238A,AGER_NORD,BOBIGNY,A86NORD,E,210051.0,Caméra Issue de secours n°238A - Tunnel de Bobigny,L10.477X,E73.985D
IS224,CAM/IS224A,AGER_NORD,BOBIGNY,A86NORD,I,200780.0,Caméra Issue de secours n°224A - Tunnel de Bobigny,L10.479A,E73.986E
IS301,CAM/IS301,AGER_SUD,FRESNES,A86SUD,I,510112.0,Caméra Issue de secours n°301 - Tunnel de Fresnes,L10.532N,E73.106G
IS302,CAM/IS302,AGER_SUD,FRESNES,A86SUD,E,510110.0,Caméra Issue de secours n°302 - Tunnel de Fresnes,L10.533P,E73.107H
IS311,CAM/IS311,AGER_SUD,ANTONY,A86SUD,I,520270.0,Caméra Issue de secours n°311 - Tunnel d'Antony,L10.534R,E73.108J
IS312,CAM/IS312,AGER_SUD,ANTONY,A86SUD,I,520464.0,Caméra Issue de secours n°312 - Tunnel d'Antony,L10.535S,E73.109K
IS313,CAM/IS313,AGER_SUD,ANTONY,A86SUD,I,520673.0,Caméra Issue de secours n°313 - Tunnel d'Antony,L10.536T,E73.111M
IS314,CAM/IS314,AGER_SUD,ANTONY,A86SUD,I,520884.0,Caméra Issue de secours n°314 - Tunnel d'Antony,L10.537U,E73.112N
IS315,CAM/IS315,AGER_SUD,ANTONY,A86SUD,I,521115.0,Caméra Issue de secours n°315 - Tunnel d'Antony,L10.538V,E73.113P
IS317,CAM/IS317,AGER_SUD,ANTONY,A86SUD,E,520885.0,Caméra Issue de secours n°317 - Tunnel d'Antony,L10.541Y,E73.114R
IS318,CAM/IS318,AGER_SUD,ANTONY,A86SUD,E,520669.0,Caméra Issue de secours n°318 - Tunnel d'Antony,L10.542A,E73.115S
IS319,CAM/IS319,AGER_SUD,ANTONY,A86SUD,E,520462.0,Caméra Issue de secours n°319 - Tunnel d’Antony,L10.543C,E73.116T
IS320,CAM/IS320,AGER_SUD,ANTONY,A86SUD,E,520276.0,Caméra Issue de secours n°320 - Tunnel d'Antony,L10.544D,E73.117U
IS404,CAM/IS404,AGER_SUD,BICETRE,A6B,Y,920.0,Caméra Issue de secours n°404 - Tunnel Bicêtre,L10.602W,E73.435X
IS405,CAM/IS405,AGER_SUD,BICETRE,A6B,Y,1225.0,Caméra Issue de secours n°405 - Tunnel Bicêtre,L10.603X,E73.436Y
IS406,CAM/IS406,AGER_SUD,BICETRE,A6B,Y,10054.0,Caméra Issue de secours n°406 - Tunnel Bicêtre,L10.604Y,E73.437A
IS407,CAM/IS407,AGER_SUD,BICETRE,A6B,Y,10275.0,Caméra Issue de secours n°407 - Tunnel Bicêtre,L10.605A,E73.438C
IS408,CAM/IS408,AGER_SUD,BICETRE,A6B,Y,10490.0,Caméra Issue de secours n°408 - Tunnel Bicêtre,L10.606C,E73.439D
IS409,CAM/IS409,AGER_SUD,BICETRE,A6B,W,10490.0,Caméra Issue de secours n°409 - Tunnel Bicêtre,L10.607D,E73.441F
IS410,CAM/IS410,AGER_SUD,BICETRE,A6B,W,10275.0,Caméra Issue de secours n°410 - Tunnel Bicêtre,L10.608E,E73.442G
IS411,CAM/IS411,AGER_SUD,BICETRE,A6B,W,10054.0,Caméra Issue de secours n°411 - Tunnel Bicêtre,L10.609F,E73.443H
IS412,CAM/IS412,AGER_SUD,BICETRE,A6B,W,1050.0,Caméra Issue de secours n°412 - Tunnel Bicêtre,L10.611H,E73.444J
IS413,CAM/IS413,AGER_SUD,BICETRE,A6B,W,750.0,Caméra Issue de secours n°413 - Tunnel Bicêtre,L10.612J,E73.445K
IS401,CAM/IS401,AGER_SUD,ITALIE,A6B,Y,150.0,Caméra Issue de secours n°401 - Tunnel d’Italie,L10.598S,E73.818E
IS402,CAM/IS402,AGER_SUD,ITALIE,A6B,Y,237.0,Caméra Issue de secours n°402 - Tunnel d’Italie,L10.599T,E73.819F
IS403,CAM/IS403,AGER_SUD,ITALIE,A6B,Y,332.0,Caméra Issue de secours n°403 - Tunnel d’Italie,L10.601V,E73.821H
IS481,CAM/IS481,AGER_SUD,ORLY,N7,Y,20720.0,Caméra Issue de secours n°481 - Tunnel d’Orly,L10.654J,E73.964D
IS482,CAM/IS482,AGER_SUD,ORLY,N7,W,20710.0,Caméra Issue de secours n°482 - Tunnel d’Orly,L10.655K,E73.965E
IS331,CAM/IS331,AGER_OUEST_B,BELLE-RIVE,A86OUEST,I,75.075,Caméra Issue de secours n°331 - Tunnel de Belle Rive,L10.545E,E73.065H
IS332,CAM/IS332,AGER_OUEST_B,BELLE-RIVE,A86OUEST,I,76.0032,Caméra Issue de secours n°332 - Tunnel de Belle Rive,L10.546F,E73.066J
IS333,CAM/IS333,AGER_OUEST_B,BELLE-RIVE,A86OUEST,I,76.0175,Caméra Issue de secours n°333 - Tunnel de Belle Rive,L10.547G,E73.067K
IS335,CAM/IS335,AGER_OUEST_B,BELLE-RIVE,A86OUEST,I,76.0436,Caméra Issue de secours n°335 - Tunnel de Belle Rive,L10.549J,E73.068L
IS334,CAM/IS334,AGER_OUEST_B,BELLE-RIVE,A86OUEST,I,76.032,Caméra Issue de secours n°334 - Tunnel de Belle Rive,L10.548H,E73.069M
IS336,CAM/IS336,AGER_OUEST_B,BELLE-RIVE,A86OUEST,I,76.055,Caméra Issue de secours n°336 - Tunnel de Belle Rive,L10.551L,E73.071P
IS337,CAM/IS337,AGER_OUEST_B,BELLE-RIVE,A86OUEST,I,76.0759,Caméra Issue de secours n°337 - Tunnel de Belle Rive,L10.552M,E73.072R
IS338,CAM/IS338,AGER_OUEST_B,BELLE-RIVE,A86OUEST,E,76.097,Caméra Issue de secours n°338 - Tunnel de Belle Rive,L10.553N,E73.073S
IS339,CAM/IS339,AGER_OUEST_B,BELLE-RIVE,A86OUEST,E,76.0756,Caméra Issue de secours n°339 - Tunnel de Belle Rive,L10.554P,E73.074T
IS340,CAM/IS340,AGER_OUEST_B,BELLE-RIVE,A86OUEST,E,76.055,Caméra Issue de secours n°340 - Tunnel de Belle Rive,L10.555R,E73.075U
IS342,CAM/IS342,AGER_OUEST_B,BELLE-RIVE,A86OUEST,E,76.0313,Caméra Issue de secours n°342 - Tunnel de Belle-Rive,L10.557T,E73.076V
IS341,CAM/IS341,AGER_OUEST_B,BELLE-RIVE,A86OUEST,E,76.046,Caméra Issue de secours n°341 - Tunnel de Belle Rive,L10.556S,E73.077W
IS343,CAM/IS343,AGER_OUEST_B,BELLE-RIVE,A86OUEST,E,76.019,Caméra Issue de secours n°343 - Tunnel de Belle Rive,L10.558U,E73.078X
IS344,CAM/IS344,AGER_OUEST_B,BELLE-RIVE,A86OUEST,E,76.0038,Caméra Issue de secours n°344 - Tunnel de Belle Rive,L10.559V,E73.079Y
IS345,CAM/IS345,AGER_OUEST_B,BELLE-RIVE,A86OUEST,E,75.0753,Caméra Issue de secours n°345 - Tunnel de Belle Rive,L10.561X,E73.081C
IS493,CAM/IS493,AGER_OUEST_B,CHENNEVIERES,N12,W,37.0387,Caméra Issue de secours n°493 - Tunnel de Chennevières,L10.667Y,E73.135R
IS492,CAM/IS492,AGER_OUEST_B,CHENNEVIERES,N12,Y,37.038,Caméra Issue de secours n°492 - Tunnel de Chennevières,L10.666X,E73.137T
IS438,CAM/IS438,AGER_OUEST_B,AMBROISE_PARE,A13,W,1.0622,Caméra Issue de secours n°438 - Tunnel Ambroise Paré,L10.625Y,E73.143A
IS440,CAM/IS440,AGER_OUEST_B,AMBROISE_PARE,A13,W,1.0441,Caméra Issue de secours n°440 - Tunnel Ambroise Paré,L10.627C,E73.144C
IS442,CAM/IS442,AGER_OUEST_B,AMBROISE_PARE,A13,W,1.0305,Caméra Issue de secours n°442 - Tunnel Ambroise Paré,L10.629E,E73.145D
IS444,CAM/IS444,AGER_OUEST_B,AMBROISE_PARE,A13,W,1.0124,Caméra Issue de secours n°444 - Tunnel Ambroise Paré,L10.632H,E73.146E
IS432,CAM/IS432,AGER_OUEST_B,AMBROISE_PARE,A13,Y,1.0149,Caméra Issue de secours n°432 - Tunnel Ambroise Paré,L10.618R,E73.148G
IS435,CAM/IS435,AGER_OUEST_B,AMBROISE_PARE,A13,Y,1.0433,Caméra Issue de secours n°435 - Tunnel Ambroise Paré,L10.622V,E73.149H
IS437,CAM/IS437,AGER_OUEST_B,AMBROISE_PARE,A13,Y,1.0622,Caméra Issue de secours n°437 - Tunnel Ambroise Paré,L10.624X,E73.151K
IS457,CAM/IS457,AGER_OUEST_B,SAINT-CLOUD,A13,W,4.0302,Caméra Issue de secours n°457 - Tunnel de Saint-Cloud,L10.641T,E73.152L
IS458,CAM/IS458,AGER_OUEST_B,SAINT-CLOUD,A13,W,4.0233,Caméra Issue de secours n°458 - Tunnel de Saint-Cloud,L10.642U,E73.153M
IS459,CAM/IS459,AGER_OUEST_B,SAINT-CLOUD,A13,W,4.0124,Caméra Issue de secours n°459 - Tunnel de Saint-Cloud,L10.643V,E73.154N
IS460,CAM/IS460,AGER_OUEST_B,SAINT-CLOUD,A13,W,3.0973,Caméra Issue de secours n°460 - Tunnel de Saint-Cloud,L10.644W,E73.155P
IS461,CAM/IS461,AGER_OUEST_B,SAINT-CLOUD,A13,W,3.0825,Caméra Issue de secours n°461 - Tunnel de Saint-Cloud,L10.645X,E73.156R
IS451,CAM/IS451,AGER_OUEST_B,SAINT-CLOUD,A13,Y,3.0671,Caméra Issue de secours n°451 - Tunnel de Saint-Cloud,L10.634K,E73.157S
IS452,CAM/IS452,AGER_OUEST_B,SAINT-CLOUD,A13,Y,3.0803,Caméra Issue de secours n°452 - Tunnel de Saint-Cloud,L10.635L,E73.158T
IS453,CAM/IS453,AGER_OUEST_B,SAINT-CLOUD,A13,Y,3.097,Caméra Issue de secours n°453 - Tunnel de Saint-Cloud,L10.636M,E73.159U
IS454,CAM/IS454,AGER_OUEST_B,SAINT-CLOUD,A13,Y,4.0145,Caméra Issue de secours n°454 - Tunnel de Saint-Cloud,L10.638P,E73.161W
IS455,CAM/IS455,AGER_OUEST_B,SAINT-CLOUD,A13,Y,4.0248,Caméra Issue de secours n°455 - Tunnel de Saint-Cloud,L10.639R,E73.162X
IS456,CAM/IS456,AGER_OUEST_B,SAINT-CLOUD,A13,Y,4.0248,Caméra Issue de secours n°456 - Tunnel de Saint-Cloud,L10.639R,E73.783M
IS462,CAM/IS462,AGER_OUEST_B,SAINT-CLOUD,A13,W,3.0692,Caméra Issue de secours n°462 - Tunnel de Saint-Cloud,L10.646Y,E73.784N
IS463,CAM/IS463,AGER_OUEST_B,SAINT-CLOUD,A13,W,3.0595,Caméra Issue de secours n°463 - Tunnel de Saint-Cloud,L11.515H,E73.785P
IS421,CAM/IS421a,AGER_OUEST_B,FONTENAY,A12,Y,5.0411,Caméra Issue de secours n°421a - Tunnel de Fontenay,L11.916K,E74.627S
IS421,CAM/IS421b,AGER_OUEST_B,FONTENAY,A12,Y,5.0476,Caméra Issue de secours n°421b - Tunnel de Fontenay,L11.917L,E74.628T
IS421,CAM/IS421,AGER_OUEST_B,FONTENAY,A12,Y,5.0346,Caméra Issue de secours n°421 - Tunnel de Fontenay,L10.613K,E74.867D
IS422,CAM/IS422,AGER_OUEST_B,FONTENAY,A12,Y,5.0544,Caméra Issue de secours n°422 - Tunnel de Fontenay,L10.614L,E74.868E
