CodeEx,PC,Axe,Sens,triCode,Tunnel,NouvPR,Tatouage,GPS
IS454,PCO,A13,Y,SCL,SAINT-CLOUD,4+0058,L10.637N,"48.839798,2.210381"
IS455,PCO,A13,Y,SCL,SAINT-CLOUD,4+0145,L10.638P,"48.839810,2.209172"
IS456,PCO,A13,Y,SCL,SAINT-CLOUD,4+0248,L10.639R,"48.839878,2.207703"
IS457,PCO,A13,W,SCL,SAINT-CLOUD,4+0302,L10.641T,"48.839314,2.207125"
IS458,PCO,A13,W,SCL,SAINT-CLOUD,4+0233,L10.642U,"48.839200,2.208139"
IS459,PCO,A13,W,SCL,SAINT-CLOUD,4+0124,L10.643V,"48.839085,2.209683"
IS460,PCO,A13,W,SCL,SAINT-CLOUD,3+0973,L10.644W,"48.838980,2.211669"
IS461,PCO,A13,W,SCL,SAINT-CLOUD,3+0825,L10.645X,"48.838867,2.213697"
IS462,PCO,A13,W,SCL,SAINT-CLOUD,3+0692,L10.646Y,"48.838802,2.215289"
IS492,PCO,N12,Y,CHE,CHENNEVIERES,37+0038,L10.666X,"48.797737,1.911011"
IS493,PCO,N12,W,CHE,CHENNEVIERES,37+0387,L10.667Y,"48.797390,1.911106"
IS463,PCO,A13,W,SCL,SAINT-CLOUD,3+0595,L11.515H,"48.838882,2.216631"
IS421A,PCO,A12,Y,FLF,FONTENAY,5+0411,L11.916K,"48.806040,2.051010"
IS421B,PCO,A12,Y,FLF,FONTENAY,5+0476,L11.917L,"48.805515,2.050474"
IS423A,PCO,A12,W,FLF,FONTENAY,5+0486,L11.918M,"48.805294,2.050994"
IS423B,PCO,A12,W,FLF,FONTENAY,5+0416,L11.919N,"48.805843,2.051530"
